Address,Latitude,Longitude
2280 Junction Pl,40.0242054,-105.2518078
1275 Alpine Ave,40.025508880615234,-105.27886962890625
900 Baseline Rd,39.9975266,-105.2809896
1745 14th street,40.01597213745117,-105.27654266357422
1500 Pearl St,40.0183745,-105.2757471
1770 13th St,40.0154279,-105.2772223
1280-1290 Berea Dr,39.9764727,-105.2501103
1305-1335 Gillaspie Dr,40.01499,-105.27055
1100 Spruce St,40.0185404,-105.2814748
900 Walnut St,40.0160435,-105.2825479
1400 Walnut St,40.0204903,-105.2586581
949-959 Walnut St,40.0202832,-105.2634241
1100 Walnut,40.0166084,-105.2802806
2052 Junction Pl,40.0244818,-105.2519185
7315 Red Deer Dr,40.0233128,-105.1829601
3172 Broadway,40.0325532,-105.281964
1739 Broadway,40.0144949,-105.2792069
2150 13th St,40.0197093,-105.2790802
5660 Sioux Dr,39.9921555,-105.2199563
1360 Gillaspie Dr,39.9746767,-105.2486002
600 Baseline Rd,39.999979,-105.286486
5565 51st St,40.0739645,-105.2370187
2667 Broadway,40.0253516,-105.2823779
1505 30th St,40.0241703,-105.2536206
2240 Broadway,40.0203683,-105.2807105
3335 Airport Rd,40.0356458,-105.2328762